aware_carbon_g,aware_energy_kwh,aware_makespan,aware_status,baseline_carbon_g,baseline_energy_kwh,baseline_makespan,baseline_status,baseline_utilization,carbon_savings_pct,day_offset,instance,mode,stretch
20211.3125,73.5625,104,FEASIBLE,21258.375,74.5625,104,OPTIMAL,0.559615,4.9254,139,2,heterogeneous,1.0
15892.375,72.75,156,FEASIBLE,21258.375,74.5625,104,OPTIMAL,0.559615,25.2418,139,2,heterogeneous,1.5
16987.75,69.625,208,FEASIBLE,21258.375,74.5625,104,OPTIMAL,0.559615,20.0891,139,2,heterogeneous,2.0
2465.375,55.0,95,FEASIBLE,8893.25,58.0,95,OPTIMAL,0.362105,72.2781,234,3,heterogeneous,1.0
2304.6875,54.4375,143,FEASIBLE,8893.25,58.0,95,OPTIMAL,0.362105,74.085,234,3,heterogeneous,1.5
5401.4375,51.375,190,FEASIBLE,8893.25,58.0,95,OPTIMAL,0.362105,39.2636,234,3,heterogeneous,2.0
11529.5,59.5625,70,FEASIBLE,11914.0625,62.0625,70,OPTIMAL,0.551429,3.2278,34,4,heterogeneous,1.0
7443.875,60.0,105,FEASIBLE,11914.0625,62.0625,70,OPTIMAL,0.551429,37.5203,34,4,heterogeneous,1.5
4646.875,57.4375,140,FEASIBLE,11914.0625,62.0625,70,OPTIMAL,0.551429,60.9967,34,4,heterogeneous,2.0
3420.0625,58.75,108,FEASIBLE,7706.3125,60.5625,108,OPTIMAL,0.312963,55.62,325,5,heterogeneous,1.0
4379.875,56.75,162,FEASIBLE,7706.3125,60.5625,108,OPTIMAL,0.312963,43.1651,325,5,heterogeneous,1.5
5856.8125,54.625,212,FEASIBLE,7706.3125,60.5625,108,OPTIMAL,0.312963,23.9998,325,5,heterogeneous,2.0
4759.75,79.5,117,FEASIBLE,5156.25,80.8125,117,OPTIMAL,0.499145,7.6897,39,6,heterogeneous,1.0
5165.6875,81.5625,132,FEASIBLE,5156.25,80.8125,117,OPTIMAL,0.499145,-0.183,39,6,heterogeneous,1.5
5462.25,82.6875,132,FEASIBLE,5156.25,80.8125,117,OPTIMAL,0.499145,-5.9345,39,6,heterogeneous,2.0
19969.6875,75.25,117,FEASIBLE,24898.8125,78.9375,117,OPTIMAL,0.435897,19.7966,118,7,heterogeneous,1.0
15913.625,75.4375,176,FEASIBLE,24898.8125,78.9375,117,OPTIMAL,0.435897,36.0868,118,7,heterogeneous,1.5
15789.6875,71.4375,234,FEASIBLE,24898.8125,78.9375,117,OPTIMAL,0.435897,36.5846,118,7,heterogeneous,2.0
10876.125,65.625,108,FEASIBLE,11343.9375,68.1875,108,OPTIMAL,0.335185,4.1239,4,8,heterogeneous,1.0
10026.1875,63.75,162,FEASIBLE,11343.9375,68.1875,108,OPTIMAL,0.335185,11.6163,4,8,heterogeneous,1.5
8691.5,61.0625,216,FEASIBLE,11343.9375,68.1875,108,OPTIMAL,0.335185,23.382,4,8,heterogeneous,2.0
26556.25,68.625,100,FEASIBLE,27747.6875,69.9375,100,OPTIMAL,0.5,4.2938,193,9,heterogeneous,1.0
20378.8125,68.0625,150,FEASIBLE,27747.6875,69.9375,100,OPTIMAL,0.5,26.5567,193,9,heterogeneous,1.5
23100.9375,66.8125,200,FEASIBLE,27747.6875,69.9375,100,OPTIMAL,0.5,16.7464,193,9,heterogeneous,2.0
21330.625,78.625,111,FEASIBLE,24739.375,83.375,111,OPTIMAL,0.430631,13.7786,192,10,heterogeneous,1.0
21937.125,77.5625,167,FEASIBLE,24739.375,83.375,111,OPTIMAL,0.430631,11.3271,192,10,heterogeneous,1.5
20469.875,75.0625,222,FEASIBLE,24739.375,83.375,111,OPTIMAL,0.430631,17.2579,192,10,heterogeneous,2.0
5337.875,94.6875,106,FEASIBLE,6036.3125,96.0625,106,OPTIMAL,0.686792,11.5706,78,11,heterogeneous,1.0
5054.0,97.125,155,FEASIBLE,6036.3125,96.0625,106,OPTIMAL,0.686792,16.2734,78,11,heterogeneous,1.5
5557.8125,92.625,212,FEASIBLE,6036.3125,96.0625,106,OPTIMAL,0.686792,7.927,78,11,heterogeneous,2.0
16123.0625,77.1875,117,FEASIBLE,24918.5,80.375,117,OPTIMAL,0.4,35.2968,84,12,heterogeneous,1.0
15173.875,73.4375,176,FEASIBLE,24918.5,80.375,117,OPTIMAL,0.4,39.106,84,12,heterogeneous,1.5
13075.0,76.6875,234,FEASIBLE,24918.5,80.375,117,OPTIMAL,0.4,47.5289,84,12,heterogeneous,2.0
8128.0625,91.5625,112,FEASIBLE,8849.375,93.1875,112,OPTIMAL,0.592857,8.151,48,13,heterogeneous,1.0
8712.375,93.25,155,FEASIBLE,8849.375,93.1875,112,OPTIMAL,0.592857,1.5481,48,13,heterogeneous,1.5
10112.25,88.3125,212,FEASIBLE,8849.375,93.1875,112,OPTIMAL,0.592857,-14.2708,48,13,heterogeneous,2.0
15493.1875,79.5625,101,FEASIBLE,16848.125,81.5,101,OPTIMAL,0.544554,8.0421,80,14,heterogeneous,1.0
5738.5625,79.0625,152,FEASIBLE,16848.125,81.5,101,OPTIMAL,0.544554,65.9395,80,14,heterogeneous,1.5
9827.6875,76.25,202,FEASIBLE,16848.125,81.5,101,OPTIMAL,0.544554,41.669,80,14,heterogeneous,2.0
9014.625,77.8125,106,FEASIBLE,10396.75,80.75,106,OPTIMAL,0.4,13.2938,202,15,heterogeneous,1.0
7627.6875,78.1875,159,FEASIBLE,10396.75,80.75,106,OPTIMAL,0.4,26.6339,202,15,heterogeneous,1.5
7549.1875,71.0625,212,FEASIBLE,10396.75,80.75,106,OPTIMAL,0.4,27.389,202,15,heterogeneous,2.0
